Customer heading,Latitude,Longitude,Town,Province,Region,Current Seller id,Institution,Titularity
171644,38.241288,-1.41528,CIEZA,Murcia,Murcia,173.0,Yes,Public
171645,42.887895,-8.541633,SANTIAGO DE COMPOSTELA,La Coruña,Galicia,190.0,Yes,Public
171646,42.844331,-2.664399,VITORIA-GASTEIZ,Álava,País Vasco,154.0,Yes,Public
171647,28.120624,-15.576619,MOYA,Las Palmas,Islas Canarias,163.0,Yes,Public
171648,37.702214,-3.287313,CABRA DEL SANTO CRISTO,Jaén,Andalucía,176.0,Yes,Public
171650,28.105252,-15.42913,LAS PALMAS DE GRAN CANARIA,Las Palmas,Islas Canarias,103.0,Yes,Public
171651,36.677009,-6.127058,JEREZ DE LA FRONTERA,Cádiz,Andalucía,196.0,No,Catholic
171653,38.335184,-0.508717,ALICANTE-ALACANT,Alicante,Comunidad Valenciana,162.0,Yes,Public
171654,38.880347,-0.59472,AIELO DE MALFERIT,Valencia,Comunidad Valenciana,187.0,Yes,Public
171655,40.589855,-4.412399,NAVALPERAL DE PINARES,Ávila,Castilla y León,170.0,Yes,Public
171656,37.403833,-6.040188,CAMAS,Sevilla,Andalucía,155.0,Yes,Public
171658,37.551414,-4.35565,DOÑA MENCIA,Córdoba,Andalucía,198.0,Yes,Public
171659,41.555473,2.086531,SABADELL,Barcelona,Cataluña,123.0,Yes,Public
171660,43.123713,-1.978786,BERASTEGI,Guipúzcoa,País Vasco,132.0,Yes,Public
171662,43.316977,-1.973765,DONOSTIA-SAN SEBASTIAN,Guipúzcoa,País Vasco,132.0,Yes,Public
171663,38.260578,-0.681958,ELCHE-ELX,Alicante,Comunidad Valenciana,192.0,Yes,Public
171664,37.983776,-1.143606,PEDANIA DE LA ARBOLEJA,Murcia,Murcia,169.0,Yes,Private
171666,36.688777,-4.599407,ALHAURIN DE LA TORRE,Málaga,Andalucía,119.0,Yes,Public
171670,41.698694,-6.345562,ALCAÑICES,Zamora,Castilla y León,101.0,Yes,Public
171672,43.304372,-8.354696,CAMBRE,La Coruña,Galicia,107.0,Yes,Public
171674,27.754725,-18.008161,FRONTERA,Sta.Cruz Tenerife,Islas Canarias,194.0,Yes,Public
171676,29.101191,-13.590768,CALETA DE FAMARA,Las Palmas,Islas Canarias,163.0,Yes,Public
171678,38.090372,-0.894171,SAN BARTOLOME,Alicante,Comunidad Valenciana,162.0,Yes,Public
171683,40.057815,0.061495,BENICASSIM,Castellón,Comunidad Valenciana,197.0,Yes,Public
171685,42.528969,-7.507088,MONFORTE DE LEMOS,Lugo,Galicia,211.0,Yes,Private
171686,43.484507,-8.236376,FERROL,La Coruña,Galicia,151.0,No,Catholic
171687,38.877439,-0.382835,CASTELLO DE RUGAT,Valencia,Comunidad Valenciana,177.0,Yes,Public
171691,43.229817,-2.847079,GALDAKAO,Vizcaya,País Vasco,140.0,Yes,Public
171692,28.829802,-17.803351,LA CUESTA (BARLOVENTO),Sta.Cruz Tenerife,Islas Canarias,143.0,Yes,Public
171694,27.772323,-15.603715,EL TABLERO (MASPALOMAS),Las Palmas,Islas Canarias,153.0,Yes,Public
171695,40.644577,-3.993479,COLLADO VILLALBA,Madrid,Madrid,116.0,Yes,Public
171698,40.501737,-0.190682,CASTELLFORT,Castellón,Comunidad Valenciana,197.0,Yes,Public
171699,42.268855,-8.786989,CANGAS DO MORRAZO,Pontevedra,Galicia,120.0,No,Catholic
171700,29.070519,-13.632544,TEGUISE,Las Palmas,Islas Canarias,163.0,Yes,Public
171702,37.544755,-1.697226,LORCA,Murcia,Murcia,173.0,Yes,Public
171704,40.075146,-2.133627,CUENCA,Cuenca,Castilla la Mancha,166.0,No,Catholic
171705,36.732919,-4.399899,MALAGA,Málaga,Andalucía,175.0,Yes,Public
171706,37.489391,-5.985789,LA RINCONADA,Sevilla,Andalucía,155.0,Yes,Public
171707,42.393304,-8.697918,MARIN,Pontevedra,Galicia,120.0,Yes,Public
171710,42.955493,-9.18763,CEE,La Coruña,Galicia,107.0,Yes,Public
171711,41.537172,2.180246,SANTA PERPETUA DE MOGODA,Barcelona,Cataluña,184.0,Yes,Public
171713,43.317688,-3.025151,PORTUGALETE,Vizcaya,País Vasco,140.0,Yes,Public
171716,42.515303,-4.00876,VILLADIEGO,Burgos,Castilla y León,126.0,Yes,Public
171717,38.678553,-6.409319,ALMENDRALEJO,Badajoz,Extremadura,110.0,Yes,Public
171718,28.140675,-16.563443,GRANADILLA DE ABONA,Sta.Cruz Tenerife,Islas Canarias,143.0,Yes,Public
171719,40.706441,-4.977552,CILLAN,Ávila,Castilla y León,170.0,Yes,Public
171720,37.257151,-6.94985,HUELVA,Huelva,Andalucía,137.0,No,Catholic
171722,42.212578,-8.677019,VIGO,Pontevedra,Galicia,122.0,No,Private
